Date,Stock Symbol,Action,Qty,Price,Notes
2022-03-31,GUJPPL,BUY,2,77.7,upstox order book import
2022-05-02,GUJPPL,BUY,2,87.3,upstox order book import
2022-05-31,GUJPPL,BUY,2,80.45,upstox order book import
2022-06-30,GUJPPL,BUY,2,77.0,upstox order book import
2022-08-01,GUJPPL,BUY,2,79.75,upstox order book import
2022-09-01,GUJPPL,BUY,2,86.5,upstox order book import
2022-09-30,GUJPPL,BUY,2,87.95,upstox order book import
2022-10-31,GUJPPL,BUY,2,86.1,upstox order book import
2026-04-16,HDF250,BUY,1,161.75,upstox order book import
2026-04-23,HDF250,BUY,1,167.8,upstox order book import
2026-04-24,HDF250,BUY,2,165.54,upstox order book import
2026-04-30,HDF250,BUY,1,168.39,upstox order book import
2026-05-07,HDF250,BUY,1,174.96,upstox order book import
2026-05-14,HDF250,BUY,1,168.84,upstox order book import
2026-05-21,HDF250,BUY,1,168.89,upstox order book import
2026-05-29,HDF250,BUY,1,172.52,upstox order book import
2026-06-04,HDF250,BUY,1,171.98,upstox order book import
2026-06-11,HDF250,BUY,1,167.87,upstox order book import
2026-06-18,HDF250,BUY,1,177.37,upstox order book import
2026-06-25,HDF250,BUY,1,178.56,upstox order book import
2026-07-02,HDF250,BUY,1,180.7,upstox order book import
2026-07-09,HDF250,BUY,1,179.98,upstox order book import
2026-07-16,HDF250,BUY,1,182.11,upstox order book import
2026-07-23,HDF250,BUY,1,178.49,upstox order book import
2026-07-30,HDF250,BUY,1,180.56,upstox order book import
2026-08-06,HDF250,BUY,1,185.57,upstox order book import
2026-08-13,HDF250,BUY,1,184.92,upstox order book import
2026-08-20,HDF250,BUY,1,185.55,upstox order book import
2026-08-27,HDF250,BUY,1,185.99,upstox order book import
2026-09-03,HDF250,BUY,1,186.13,upstox order book import
2026-09-10,HDF250,BUY,1,186.08,upstox order book import
2022-01-20,HDFBAN,BUY,5,1513.2,upstox order book import
2022-01-27,HDFBAN,BUY,10,1444.0,upstox order book import
2022-02-08,HDFBAN,BUY,10,1462.0,upstox order book import
2022-02-23,HDFBAN,BUY,15,1516.0,upstox order book import
2022-03-03,HDFBAN,BUY,15,1379.0,upstox order book import
2026-04-01,HDFBAN,BUY,20,752.1,upstox order book import
2024-10-15,HINPET,BUY,2,423.6,upstox order book import
