symbol,original_run_timestamp,signal,price_at_signal,price_5d_after,return_5d_pct,price_10d_after,return_10d_pct,price_20d_after,return_20d_pct,scored_at
NTPC,2026-07-11,🔴 STRG SELL,344.55,343.54,-0.29,347.05,0.73,336.81,-2.25,2026-09-21 20:51:08 IST
NTPGRE,2026-07-11,🔴 STRG SELL,94.1,91.98,-2.25,93.69,-0.44,91.88,-2.36,2026-09-21 20:51:08 IST
SJVLIM,2026-07-11,🔴 STRG SELL,70.88,68.73,-3.03,67.68,-4.51,67.54,-4.71,2026-09-21 20:51:08 IST
TATPOW,2026-07-11,🔴 STRG SELL,381.3,384.3,0.79,377.35,-1.04,382.0,0.18,2026-09-21 20:51:08 IST
ONGC,2026-07-11,🔴 STRG SELL,244.96,248.52,1.45,237.55,-3.02,238.82,-2.51,2026-09-21 20:51:08 IST
RELIND,2026-07-11,🔴 STRG SELL,1307.8,1323.1,1.17,1280.0,-2.13,1327.3,1.49,2026-09-21 20:51:08 IST
IDECEL,2026-07-11,🟢 ACCUMULATE,14.19,13.51,-4.79,13.06,-7.96,12.92,-8.95,2026-09-21 20:51:08 IST
ASHLEY,2026-07-15,🔴 STRG SELL,155.19,152.49,-1.74,157.96,1.78,176.7,13.86,2026-09-21 20:51:08 IST
TATCAP,2026-07-15,🟡 HOLD,305.9,346.77,13.36,361.8,18.27,367.05,19.99,2026-09-21 20:51:08 IST
HDFBAN,2026-07-15,🔴 STRG SELL,809.4,753.15,-6.95,748.2,-7.56,729.0,-9.93,2026-09-21 20:51:08 IST
LGELEC,2026-07-15,🟡 HOLD,1523.9,1529.4,0.36,1518.2,-0.37,1578.8,3.6,2026-09-21 20:51:08 IST
ICINIF,2026-07-15,🟡 HOLD,266.01,273.42,2.79,269.6,1.35,,,2026-09-21 20:51:08 IST
BHAELE,2026-07-15,🔴 STRG SELL,410.1,406.2,-0.95,387.02,-5.63,405.15,-1.21,2026-09-21 20:51:08 IST
TATGLO,2026-07-15,🔴 STRG SELL,1097.6,1094.9,-0.25,1096.1,-0.14,1061.9,-3.25,2026-09-21 20:51:08 IST
JIOFIN,2026-07-15,🔴 STRG SELL,235.97,234.25,-0.73,248.9,5.48,256.05,8.51,2026-09-21 20:51:08 IST
WIPRO,2026-07-15,🔴 STRG SELL,177.14,172.47,-2.64,183.61,3.65,183.94,3.84,2026-09-21 20:51:08 IST
ENGIND,2026-07-15,🟡 HOLD,228.68,225.39,-1.44,225.56,-1.36,239.2,4.6,2026-09-21 20:51:08 IST
DRREDD,2026-07-15,🔴 STRG SELL,1246.2,1182.8,-5.09,1142.3,-8.34,1200.0,-3.71,2026-09-21 20:51:08 IST
NHPC,2026-07-15,🟡 HOLD / RISK,78.77,80.06,1.64,77.69,-1.37,76.85,-2.44,2026-09-21 20:51:08 IST
NTPC,2026-07-15,🔴 STRG SELL,348.15,346.75,-0.4,339.83,-2.39,335.82,-3.54,2026-09-21 20:51:08 IST
SJVLIM,2026-07-15,🔴 STRG SELL,70.38,68.3,-2.96,68.65,-2.46,66.75,-5.16,2026-09-21 20:51:08 IST
TATPOW,2026-07-15,🔴 STRG SELL,377.7,378.55,0.23,377.25,-0.12,379.45,0.46,2026-09-21 20:51:08 IST
GAIL,2026-07-15,🟡 HOLD / RISK,171.51,172.51,0.58,174.61,1.81,177.43,3.45,2026-09-21 20:51:08 IST
HINPET,2026-07-15,🔴 STRG SELL,386.0,375.84,-2.63,373.51,-3.24,370.89,-3.91,2026-09-21 20:51:08 IST
ONGC,2026-07-15,🔴 STRG SELL,248.9,250.83,0.78,237.3,-4.66,238.04,-4.36,2026-09-21 20:51:08 IST
PETLNG,2026-07-15,🟡 HOLD,276.05,279.65,1.3,277.1,0.38,279.85,1.38,2026-09-21 20:51:08 IST
RELIND,2026-07-15,🔴 STRG SELL,1293.0,1288.6,-0.34,1275.9,-1.32,1329.0,2.78,2026-09-21 20:51:08 IST
GUJPPL,2026-07-15,🔴 STRG SELL,151.18,144.3,-4.55,145.74,-3.6,145.36,-3.85,2026-09-21 20:51:08 IST
IDECEL,2026-07-15,🟡 HOLD,13.83,13.54,-2.1,13.05,-5.64,13.5,-2.39,2026-09-21 20:51:08 IST
ASHLEY,2026-07-18,🔴 STRG SELL,155.23,155.06,-0.11,174.55,12.45,177.1,14.09,2026-09-21 20:51:08 IST
TATCAP,2026-07-18,🟡 HOLD,305.9,350.55,14.6,364.75,19.24,359.25,17.44,2026-09-21 20:51:08 IST
FEDBAN,2026-07-18,🟢 ACCUMULATE,349.0,355.29,1.8,370.43,6.14,354.1,1.46,2026-09-21 20:51:08 IST
HDFBAN,2026-07-18,🔴 STRG SELL,819.6,739.55,-9.77,753.0,-8.13,729.0,-11.05,2026-09-21 20:51:08 IST
LGELEC,2026-07-18,🟡 HOLD,1523.9,1526.8,0.19,1569.8,3.01,1667.6,9.43,2026-09-21 20:51:08 IST
ICINIF,2026-07-18,🟡 HOLD,266.01,273.42,2.79,269.6,1.35,,,2026-09-21 20:51:08 IST
NIPNIT,2026-07-18,🟡 HOLD,32.27,32.7,1.33,34.98,8.4,34.24,6.1,2026-09-21 20:51:08 IST
BHAELE,2026-07-18,🔴 STRG SELL,409.45,406.6,-0.7,391.62,-4.35,412.45,0.73,2026-09-21 20:51:08 IST
TATGLO,2026-07-18,🔴 STRG SELL,1088.6,1107.4,1.73,1110.0,1.97,1072.6,-1.47,2026-09-21 20:51:08 IST
JIOFIN,2026-07-18,🔴 STRG SELL,242.98,235.62,-3.03,262.39,7.99,249.75,2.79,2026-09-21 20:51:08 IST
WIPRO,2026-07-18,🔴 STRG SELL,176.0,178.53,1.44,188.66,7.19,181.9,3.35,2026-09-21 20:51:08 IST
ENGIND,2026-07-18,🟡 HOLD,227.66,226.42,-0.54,226.8,-0.38,240.18,5.5,2026-09-21 20:51:08 IST
LIC,2026-07-18,🟡 HOLD,433.1,424.35,-2.02,428.5,-1.06,410.0,-5.33,2026-09-21 20:51:08 IST
DRREDD,2026-07-18,🔴 STRG SELL,1211.2,1150.8,-4.99,1180.0,-2.58,1192.0,-1.59,2026-09-21 20:51:08 IST
NHPC,2026-07-18,🟡 HOLD / RISK,79.2,79.5,0.38,79.03,-0.21,76.6,-3.28,2026-09-21 20:51:08 IST
NTPC,2026-07-18,🔴 STRG SELL,341.85,347.05,1.52,347.15,1.55,333.4,-2.47,2026-09-21 20:51:08 IST
SJVLIM,2026-07-18,🔴 STRG SELL,69.13,67.68,-2.1,69.05,-0.12,66.21,-4.22,2026-09-21 20:51:08 IST
TATPOW,2026-07-18,🔴 STRG SELL,377.25,377.35,0.03,382.0,1.26,381.5,1.13,2026-09-21 20:51:08 IST
HINPET,2026-07-18,🔴 STRG SELL,400.4,374.65,-6.43,375.65,-6.18,371.0,-7.34,2026-09-21 20:51:08 IST
ONGC,2026-07-18,🔴 STRG SELL,247.29,237.55,-3.94,240.97,-2.56,237.48,-3.97,2026-09-21 20:51:08 IST
PETLNG,2026-07-18,🔴 STRG SELL,273.8,272.9,-0.33,284.85,4.04,281.8,2.92,2026-09-21 20:51:08 IST
RELIND,2026-07-18,🔴 STRG SELL,1327.2,1280.0,-3.56,1319.0,-0.62,1316.0,-0.84,2026-09-21 20:51:08 IST
IDECEL,2026-07-18,🟡 HOLD,13.74,13.06,-4.95,12.86,-6.4,13.71,-0.22,2026-09-21 20:51:08 IST
ASHLEY,2026-07-22,🔴 STRG SELL,153.94,157.96,2.61,177.0,14.98,173.1,12.45,2026-09-21 20:51:08 IST
TATCAP,2026-07-22,🟡 HOLD,305.9,361.8,18.27,371.9,21.58,365.55,19.5,2026-09-21 20:51:08 IST
FEDBAN,2026-07-22,🟢 ACCUMULATE,356.05,357.93,0.53,355.24,-0.23,358.8,0.77,2026-09-21 20:51:08 IST
HDFBAN,2026-07-22,🔴 STRG SELL,761.45,748.2,-1.74,735.0,-3.47,720.0,-5.44,2026-09-21 20:51:08 IST
LGELEC,2026-07-22,🟡 HOLD,1523.9,1518.2,-0.37,1578.6,3.59,1645.1,7.95,2026-09-21 20:51:08 IST
ICINIF,2026-07-22,🟡 HOLD,266.01,273.42,2.79,269.6,1.35,,,2026-09-21 20:51:08 IST
BHAELE,2026-07-22,🔴 STRG SELL,410.05,387.02,-5.62,389.47,-5.02,409.2,-0.21,2026-09-21 20:51:08 IST
TATGLO,2026-07-22,🔴 STRG SELL,1081.5,1096.1,1.35,1096.3,1.37,1068.0,-1.25,2026-09-21 20:51:08 IST
JIOFIN,2026-07-22,🔴 STRG SELL,240.03,248.9,3.7,261.34,8.88,243.15,1.3,2026-09-21 20:51:08 IST
WIPRO,2026-07-22,🔴 STRG SELL,174.97,183.61,4.94,186.99,6.87,179.55,2.62,2026-09-21 20:51:08 IST
ENGIND,2026-07-22,🟡 HOLD,228.12,225.56,-1.12,240.27,5.33,236.9,3.85,2026-09-21 20:51:08 IST
LIC,2026-07-22,🟡 HOLD,429.7,423.9,-1.35,393.0,-8.54,413.1,-3.86,2026-09-21 20:51:08 IST
DRREDD,2026-07-22,🔴 STRG SELL,1206.0,1142.3,-5.28,1176.0,-2.49,1170.0,-2.99,2026-09-21 20:51:08 IST
JSWENE,2026-07-22,🟡 HOLD / RISK,566.2,545.7,-3.62,566.0,-0.04,543.95,-3.93,2026-09-21 20:51:08 IST
NHPC,2026-07-22,🟡 HOLD / RISK,80.31,77.69,-3.26,78.39,-2.39,76.17,-5.16,2026-09-21 20:51:08 IST
NTPC,2026-07-22,🔴 STRG SELL,348.55,339.83,-2.5,346.16,-0.69,332.95,-4.48,2026-09-21 20:51:08 IST
NTPGRE,2026-07-22,🔴 STRG SELL,92.54,91.48,-1.15,90.66,-2.03,91.7,-0.91,2026-09-21 20:51:08 IST
SJVLIM,2026-07-22,🔴 STRG SELL,68.65,68.65,0.0,68.74,0.13,65.69,-4.31,2026-09-21 20:51:08 IST
TATPOW,2026-07-22,🔴 STRG SELL,381.45,377.25,-1.1,383.0,0.41,378.9,-0.67,2026-09-21 20:51:08 IST
HINPET,2026-07-22,🔴 STRG SELL,406.95,373.51,-8.22,375.6,-7.7,366.45,-9.95,2026-09-21 20:51:08 IST
ONGC,2026-07-22,🔴 STRG SELL,249.89,237.3,-5.04,239.18,-4.29,236.99,-5.16,2026-09-21 20:51:08 IST
PETLNG,2026-07-22,🟡 HOLD,276.65,277.1,0.16,280.8,1.5,288.15,4.16,2026-09-21 20:51:08 IST
RELIND,2026-07-22,🔴 STRG SELL,1303.7,1275.9,-2.13,1280.0,-1.82,1311.0,0.56,2026-09-21 20:51:08 IST
GUJPPL,2026-07-22,🔴 STRG SELL,150.8,145.74,-3.36,147.19,-2.39,160.25,6.27,2026-09-21 20:51:08 IST
IDECEL,2026-07-22,🟡 HOLD,13.49,13.05,-3.26,12.8,-5.11,14.07,4.3,2026-09-21 20:51:08 IST
TATCAP,2026-07-25,🟡 HOLD,305.9,364.75,19.24,367.85,20.25,364.45,19.14,2026-09-21 20:51:08 IST
FEDBAN,2026-07-25,🟢 ACCUMULATE,354.3,370.43,4.55,357.13,0.8,357.75,0.97,2026-09-21 20:51:08 IST
HDFBAN,2026-07-25,🔴 STRG SELL,742.8,753.0,1.37,731.0,-1.59,729.0,-1.86,2026-09-21 20:51:08 IST
LGELEC,2026-07-25,🟡 HOLD,1523.9,1569.8,3.01,1557.8,2.22,1664.2,9.21,2026-09-21 20:51:08 IST
ICINIF,2026-07-25,🟡 HOLD,266.01,273.42,2.79,269.6,1.35,,,2026-09-21 20:51:08 IST
BHAELE,2026-07-25,🔴 STRG SELL,405.0,391.62,-3.3,403.8,-0.3,409.0,0.99,2026-09-21 20:51:08 IST
TATGLO,2026-07-25,🔴 STRG SELL,1088.0,1110.0,2.02,1108.7,1.9,1062.5,-2.34,2026-09-21 20:51:08 IST
JIOFIN,2026-07-25,🔴 STRG SELL,234.71,262.39,11.79,254.0,8.22,242.0,3.11,2026-09-21 20:51:08 IST
WIPRO,2026-07-25,🔴 STRG SELL,177.12,188.66,6.52,185.5,4.73,181.31,2.37,2026-09-21 20:51:08 IST
LIC,2026-07-25,🟢 ACCUMULATE,421.3,428.5,1.71,393.0,-6.72,421.85,0.13,2026-09-21 20:51:08 IST
DRREDD,2026-07-25,🔴 STRG SELL,1151.7,1180.0,2.46,1158.8,0.62,1190.0,3.33,2026-09-21 20:51:08 IST
JSWENE,2026-07-25,🟡 HOLD,551.65,569.0,3.15,578.0,4.78,544.7,-1.26,2026-09-21 20:51:08 IST
NHPC,2026-07-25,🟡 HOLD / RISK,79.39,79.03,-0.45,76.99,-3.02,76.65,-3.45,2026-09-21 20:51:08 IST
NTPC,2026-07-25,🔴 STRG SELL,347.2,347.15,-0.01,336.81,-2.99,335.87,-3.26,2026-09-21 20:51:08 IST
NTPGRE,2026-07-25,🔴 STRG SELL,96.32,90.7,-5.83,91.88,-4.61,91.44,-5.07,2026-09-21 20:51:08 IST
SJVLIM,2026-07-25,🔴 STRG SELL,67.58,69.05,2.18,67.54,-0.06,65.8,-2.63,2026-09-21 20:51:08 IST
TATPOW,2026-07-25,🔴 STRG SELL,374.4,382.0,2.03,382.0,2.03,373.5,-0.24,2026-09-21 20:51:08 IST
GAIL,2026-07-25,🟡 HOLD / RISK,170.02,173.8,2.22,172.0,1.16,173.25,1.9,2026-09-21 20:51:08 IST
HINPET,2026-07-25,🔴 STRG SELL,381.1,375.65,-1.43,373.89,-1.89,371.95,-2.4,2026-09-21 20:51:08 IST
ONGC,2026-07-25,🔴 STRG SELL,248.76,240.97,-3.13,238.82,-4.0,235.55,-5.31,2026-09-21 20:51:08 IST
RELIND,2026-07-25,🔴 STRG SELL,1278.0,1319.0,3.21,1327.3,3.86,1309.8,2.49,2026-09-21 20:51:08 IST
GUJPPL,2026-07-25,🔴 STRG SELL,149.23,146.89,-1.57,145.93,-2.21,158.6,6.28,2026-09-21 20:51:08 IST
IDECEL,2026-07-25,🟡 HOLD,13.13,12.86,-2.06,12.92,-1.6,14.07,7.16,2026-09-21 20:51:08 IST
ASHLEY,2026-07-29,🔴 STRG SELL,157.5,177.0,12.38,176.7,12.19,179.05,13.68,2026-09-21 20:51:08 IST
TATCAP,2026-07-29,🟡 HOLD,305.9,371.9,21.58,367.05,19.99,370.65,21.17,2026-09-21 20:51:08 IST
FEDBAN,2026-07-29,🟢 ACCUMULATE,357.25,355.24,-0.56,355.64,-0.45,345.3,-3.34,2026-09-21 20:51:08 IST
HDFBAN,2026-07-29,🔴 STRG SELL,735.4,735.0,-0.05,729.0,-0.87,727.2,-1.12,2026-09-21 20:51:08 IST
LGELEC,2026-07-29,🟡 HOLD,1523.9,1578.6,3.59,1578.8,3.6,1675.4,9.94,2026-09-21 20:51:08 IST
ICINIF,2026-07-29,🟡 HOLD,266.01,273.42,2.79,269.6,1.35,,,2026-09-21 20:51:08 IST
BHAELE,2026-07-29,🔴 STRG SELL,389.0,389.47,0.12,405.15,4.15,406.9,4.6,2026-09-21 20:51:08 IST
WIPRO,2026-07-29,🔴 STRG SELL,181.12,186.99,3.24,183.94,1.56,177.35,-2.08,2026-09-21 20:51:08 IST
ENGIND,2026-07-29,🟡 HOLD,222.59,240.27,7.94,239.2,7.46,250.36,12.48,2026-09-21 20:51:08 IST
LIC,2026-07-29,🟢 ACCUMULATE,427.15,393.0,-7.99,417.0,-2.38,415.3,-2.77,2026-09-21 20:51:08 IST
DRREDD,2026-07-29,🔴 STRG SELL,1135.6,1176.0,3.56,1200.0,5.67,1182.0,4.09,2026-09-21 20:51:08 IST
JSWENE,2026-07-29,🟡 HOLD,544.25,566.0,4.0,558.75,2.66,543.5,-0.14,2026-09-21 20:51:08 IST
NHPC,2026-07-29,🔴 STRG SELL,78.28,78.39,0.14,76.85,-1.83,76.24,-2.61,2026-09-21 20:51:08 IST
NTPC,2026-07-29,🔴 STRG SELL,343.75,346.16,0.7,335.82,-2.31,331.02,-3.7,2026-09-21 20:51:08 IST
NTPGRE,2026-07-29,🔴 STRG SELL,92.27,90.66,-1.74,92.46,0.21,91.27,-1.08,2026-09-21 20:51:08 IST
TATPOW,2026-07-29,🔴 STRG SELL,371.35,383.0,3.14,379.45,2.18,364.0,-1.98,2026-09-21 20:51:08 IST
GAIL,2026-07-29,🟡 HOLD / RISK,175.15,176.45,0.74,177.43,1.3,173.98,-0.67,2026-09-21 20:51:08 IST
HINPET,2026-07-29,🔴 STRG SELL,400.05,375.6,-6.11,370.89,-7.29,375.5,-6.14,2026-09-21 20:51:08 IST
ONGC,2026-07-29,🔴 STRG SELL,238.91,239.18,0.11,238.04,-0.36,231.23,-3.21,2026-09-21 20:51:08 IST
IDECEL,2026-07-29,🟡 HOLD,12.95,12.8,-1.16,13.5,4.25,15.06,16.29,2026-09-21 20:51:08 IST
ASHLEY,2026-08-01,🟡 HOLD,166.18,174.0,4.71,177.1,6.57,175.64,5.69,2026-09-21 20:51:08 IST
TATCAP,2026-08-01,🟡 HOLD,305.9,367.85,20.25,359.25,17.44,367.9,20.27,2026-09-21 20:51:08 IST
HDFBAN,2026-08-01,🔴 STRG SELL,748.15,731.0,-2.29,729.0,-2.56,709.0,-5.23,2026-09-21 20:51:08 IST
LGELEC,2026-08-01,🟡 HOLD,1523.9,1557.8,2.22,1667.6,9.43,1697.8,11.41,2026-09-21 20:51:08 IST
ICINIF,2026-08-01,🟡 HOLD,266.01,273.42,2.79,269.6,1.35,,,2026-09-21 20:51:08 IST
BHAELE,2026-08-01,🔴 STRG SELL,387.85,403.8,4.11,412.45,6.34,414.45,6.86,2026-09-21 20:51:08 IST
TATGLO,2026-08-01,🔴 STRG SELL,1083.1,1108.7,2.36,1072.6,-0.97,1037.5,-4.21,2026-09-21 20:51:08 IST
JIOFIN,2026-08-01,🔴 STRG SELL,256.46,254.0,-0.96,249.75,-2.62,241.35,-5.89,2026-09-21 20:51:08 IST
WIPRO,2026-08-01,🔴 STRG SELL,183.65,185.5,1.01,181.9,-0.95,184.5,0.46,2026-09-21 20:51:08 IST
LIC,2026-08-01,🟢 ACCUMULATE,424.7,393.0,-7.46,410.0,-3.46,418.0,-1.58,2026-09-21 20:51:08 IST
DRREDD,2026-08-01,🔴 STRG SELL,1148.1,1158.8,0.93,1192.0,3.82,1154.4,0.55,2026-09-21 20:51:08 IST
NHPC,2026-08-01,🟡 HOLD / RISK,78.73,76.99,-2.21,76.6,-2.71,76.72,-2.55,2026-09-21 20:51:08 IST
NTPC,2026-08-01,🔴 STRG SELL,347.25,336.81,-3.01,333.4,-3.99,323.9,-6.72,2026-09-21 20:51:08 IST
NTPGRE,2026-08-01,🔴 STRG SELL,90.03,91.88,2.05,92.14,2.34,89.51,-0.58,2026-09-21 20:51:08 IST
SJVLIM,2026-08-01,🔴 STRG SELL,68.62,67.54,-1.57,66.21,-3.51,64.71,-5.7,2026-09-21 20:51:08 IST
TATPOW,2026-08-01,🔴 STRG SELL,380.7,382.0,0.34,381.5,0.21,347.0,-8.85,2026-09-21 20:51:08 IST
GAIL,2026-08-01,🟡 HOLD / RISK,181.44,172.0,-5.2,171.6,-5.42,176.99,-2.45,2026-09-21 20:51:08 IST
HINPET,2026-08-01,🔴 STRG SELL,389.75,373.89,-4.07,371.0,-4.81,365.75,-6.16,2026-09-21 20:51:08 IST
ONGC,2026-08-01,🔴 STRG SELL,242.53,238.82,-1.53,237.48,-2.08,230.82,-4.83,2026-09-21 20:51:08 IST
PETLNG,2026-08-01,🟢 ACCUMULATE,280.75,280.0,-0.27,281.8,0.37,300.6,7.07,2026-09-21 20:51:08 IST
RELIND,2026-08-01,🔴 STRG SELL,1307.8,1327.3,1.49,1316.0,0.63,1277.0,-2.36,2026-09-21 20:51:08 IST
IDECEL,2026-08-01,🟡 HOLD,13.01,12.92,-0.69,13.71,5.38,14.33,10.15,2026-09-21 20:51:08 IST
ASHLEY,2026-08-05,🟡 HOLD,172.08,176.7,2.68,173.1,0.59,167.9,-2.43,2026-09-21 20:51:08 IST
TATCAP,2026-08-05,🟡 HOLD,305.9,367.05,19.99,365.55,19.5,364.75,19.24,2026-09-21 20:51:08 IST
FEDBAN,2026-08-05,🟢 ACCUMULATE,362.45,355.64,-1.88,358.8,-1.01,353.35,-2.51,2026-09-21 20:51:08 IST
HDFBAN,2026-08-05,🔴 STRG SELL,742.0,729.0,-1.75,720.0,-2.96,700.8,-5.55,2026-09-21 20:51:08 IST
LGELEC,2026-08-05,🟡 HOLD,1523.9,1578.8,3.6,1645.1,7.95,1653.2,8.48,2026-09-21 20:51:08 IST
ICINIF,2026-08-05,🟡 HOLD,266.01,273.42,2.79,269.6,1.35,,,2026-09-21 20:51:08 IST
BHAELE,2026-08-05,🔴 STRG SELL,391.5,405.15,3.49,409.2,4.52,405.75,3.64,2026-09-21 20:51:08 IST
TATGLO,2026-08-05,🔴 STRG SELL,1092.0,1061.9,-2.76,1068.0,-2.2,1012.0,-7.33,2026-09-21 20:51:08 IST
JIOFIN,2026-08-05,🟡 HOLD,265.0,256.05,-3.38,243.15,-8.25,236.9,-10.6,2026-09-21 20:51:08 IST
WIPRO,2026-08-05,🔴 STRG SELL,186.3,183.94,-1.27,179.55,-3.62,177.09,-4.94,2026-09-21 20:51:08 IST
ENGIND,2026-08-05,🟡 HOLD,224.89,239.2,6.36,236.9,5.34,276.6,22.99,2026-09-21 20:51:08 IST
LIC,2026-08-05,🔴 STRG SELL,391.3,417.0,6.57,413.1,5.57,408.25,4.33,2026-09-21 20:51:08 IST
DRREDD,2026-08-05,🔴 STRG SELL,1172.6,1200.0,2.34,1170.0,-0.22,1156.5,-1.37,2026-09-21 20:51:08 IST
SEQSCI,2026-08-05,🟡 HOLD,994.6,262.75,-73.58,271.4,-72.71,259.1,-73.95,2026-09-21 20:51:08 IST
JSWENE,2026-08-05,🟢 ACCUMULATE,568.0,558.75,-1.63,543.95,-4.23,539.8,-4.96,2026-09-21 20:51:08 IST
NHPC,2026-08-05,🟡 HOLD / RISK,80.5,76.85,-4.53,76.17,-5.38,75.65,-6.02,2026-09-21 20:51:08 IST
NTPC,2026-08-05,🔴 STRG SELL,343.65,335.82,-2.28,332.95,-3.11,330.0,-3.97,2026-09-21 20:51:08 IST
NTPGRE,2026-08-05,🔴 STRG SELL,90.72,92.46,1.92,91.7,1.08,88.12,-2.87,2026-09-21 20:51:08 IST
SJVLIM,2026-08-05,🔴 STRG SELL,69.0,66.75,-3.26,65.69,-4.8,63.92,-7.36,2026-09-21 20:51:08 IST
TATPOW,2026-08-05,🔴 STRG SELL,380.0,379.45,-0.14,378.9,-0.29,364.0,-4.21,2026-09-21 20:51:08 IST
GAIL,2026-08-05,🟢 ACCUMULATE,175.0,177.43,1.39,172.0,-1.71,173.0,-1.14,2026-09-21 20:51:08 IST
HINPET,2026-08-05,🔴 STRG SELL,391.5,370.89,-5.26,366.45,-6.4,359.0,-8.3,2026-09-21 20:51:08 IST
ONGC,2026-08-05,🔴 STRG SELL,242.0,238.04,-1.64,236.99,-2.07,236.49,-2.28,2026-09-21 20:51:08 IST
RELIND,2026-08-05,🔴 STRG SELL,1290.9,1329.0,2.95,1311.0,1.56,1313.1,1.72,2026-09-21 20:51:08 IST
GUJPPL,2026-08-05,🔴 STRG SELL,151.8,145.36,-4.24,160.25,5.57,164.44,8.33,2026-09-21 20:51:08 IST
IDECEL,2026-08-05,🟡 HOLD,12.9,13.5,4.65,14.07,9.07,14.53,12.64,2026-09-21 20:51:08 IST
ASHLEY,2026-08-08,🟡 HOLD,177.5,177.1,-0.23,173.29,-2.37,170.0,-4.23,2026-09-21 20:51:08 IST
TATCAP,2026-08-08,🟡 HOLD,305.9,359.25,17.44,364.45,19.14,369.95,20.94,2026-09-21 20:51:08 IST
FEDBAN,2026-08-08,🟢 ACCUMULATE,356.25,354.1,-0.6,357.75,0.42,342.0,-4.0,2026-09-21 20:51:08 IST
HDFBAN,2026-08-08,🔴 STRG SELL,731.0,729.0,-0.27,729.0,-0.27,710.5,-2.8,2026-09-21 20:51:08 IST
LGELEC,2026-08-08,🟡 HOLD,1523.9,1667.6,9.43,1664.2,9.21,1647.8,8.13,2026-09-21 20:51:08 IST
ICINIF,2026-08-08,🟡 HOLD,266.01,273.42,2.79,269.6,1.35,,,2026-09-21 20:51:08 IST
BHAELE,2026-08-08,🔴 STRG SELL,401.0,412.45,2.86,409.0,2.0,404.0,0.75,2026-09-21 20:51:08 IST
TATGLO,2026-08-08,🔴 STRG SELL,1082.3,1072.6,-0.9,1062.5,-1.83,1015.0,-6.22,2026-09-21 20:51:08 IST
JIOFIN,2026-08-08,🔴 STRG SELL,256.8,249.75,-2.75,242.0,-5.76,234.4,-8.72,2026-09-21 20:51:08 IST
WIPRO,2026-08-08,🔴 STRG SELL,187.53,181.9,-3.0,181.31,-3.32,172.8,-7.85,2026-09-21 20:51:08 IST
ENGIND,2026-08-08,🟢 ACCUMULATE,240.6,240.18,-0.17,254.83,5.91,277.05,15.15,2026-09-21 20:51:08 IST
LIC,2026-08-08,🔴 STRG SELL,394.0,410.0,4.06,421.85,7.07,411.5,4.44,2026-09-21 20:51:08 IST
DRREDD,2026-08-08,🔴 STRG SELL,1172.0,1192.0,1.71,1190.0,1.54,1144.2,-2.37,2026-09-21 20:51:08 IST
SEQSCI,2026-08-08,🟡 HOLD,1003.8,252.15,-74.88,273.2,-72.78,263.65,-73.73,2026-09-21 20:51:08 IST
JSWENE,2026-08-08,🟢 ACCUMULATE,564.4,555.5,-1.58,544.7,-3.49,530.0,-6.09,2026-09-21 20:51:08 IST
NHPC,2026-08-08,🔴 STRG SELL,76.92,76.6,-0.42,76.65,-0.35,76.0,-1.2,2026-09-21 20:51:08 IST
NTPC,2026-08-08,🔴 STRG SELL,342.5,333.4,-2.66,335.87,-1.94,332.0,-3.07,2026-09-21 20:51:08 IST
NTPGRE,2026-08-08,🔴 STRG SELL,91.5,92.14,0.7,91.44,-0.07,88.16,-3.65,2026-09-21 20:51:08 IST
SJVLIM,2026-08-08,🔴 STRG SELL,67.96,66.21,-2.58,65.8,-3.18,65.56,-3.53,2026-09-21 20:51:08 IST
TATPOW,2026-08-08,🔴 STRG SELL,380.55,381.5,0.25,373.5,-1.85,365.7,-3.9,2026-09-21 20:51:08 IST
GAIL,2026-08-08,🟢 ACCUMULATE,173.63,171.6,-1.17,173.25,-0.22,176.0,1.36,2026-09-21 20:51:08 IST
ONGC,2026-08-08,🔴 STRG SELL,238.85,237.48,-0.57,235.55,-1.38,233.7,-2.16,2026-09-21 20:51:08 IST
PETLNG,2026-08-08,🟢 ACCUMULATE,280.6,281.8,0.43,295.95,5.47,290.95,3.69,2026-09-21 20:51:08 IST
RELIND,2026-08-08,🔴 STRG SELL,1334.8,1316.0,-1.41,1309.8,-1.87,1309.5,-1.9,2026-09-21 20:51:08 IST
GUJPPL,2026-08-08,🔴 STRG SELL,151.63,154.85,2.12,158.6,4.6,160.98,6.17,2026-09-21 20:51:08 IST
IDECEL,2026-08-08,🟡 HOLD,12.73,13.71,7.7,14.07,10.53,15.6,22.55,2026-09-21 20:51:08 IST
ASHLEY,2026-08-12,🟡 HOLD,174.83,173.1,-0.99,179.05,2.41,167.0,-4.48,2026-09-21 20:51:08 IST
TATCAP,2026-08-12,🟡 HOLD,305.9,365.55,19.5,370.65,21.17,363.0,18.67,2026-09-21 20:51:08 IST
HDFBAN,2026-08-12,🔴 STRG SELL,729.0,720.0,-1.23,727.2,-0.25,687.1,-5.75,2026-09-21 20:51:08 IST
LGELEC,2026-08-12,🟡 HOLD,1523.9,1645.1,7.95,1675.4,9.94,1647.8,8.13,2026-09-21 20:51:08 IST
ICINIF,2026-08-12,🟡 HOLD,266.01,273.42,2.79,269.6,1.35,,,2026-09-21 20:51:08 IST
